Year,Mo,Dy,Hr,Mn,Sec,Tsu,Name,Lat,Long,focal depth,Mag,MMI Int,Deaths,Det,Injuries,Det,Damage Mill$,Det,Houses Destoyed,Det,Houses Damaged,Det
1900,1,10,,,,Tsu,INDONESIA: GALELA (HALMAHERA ISLAND),-0.03,127.25,,,,,,,,,,,,,
1900,1,11,9,7,,,JAPAN: SEA OF JAPAN,36.5,133.5,,7.8,,,,,,,,,,,
1900,1,14,,,,,INDONESIA: JAVA: SUKABUMI,-6.84,106.96,,,7,,,,,,2,,,,3
1900,1,20,6,33,30,,MEXICO,20,-105,10,7.4,,,,,,,1,,,,
1900,5,16,20,12,,,MEXICO: NEAR COAST OF JALISCO,20,-105,60,7.8,,,,,,,,,,,
1900,6,7,22,,,,VENEZUELA: CASANAY (CASANAI) CARIACO,10.3,-63.3,,,,,,,,,2,,,,
1900,6,21,20,52,,,CUBA,20,-80,60,7.9,,,,,,,,,,,
1900,7,12,6,25,,,TURKEY: KARS KARAKURT KAGIZMAN DIGOR,40.3,43.1,,5.9,8,140,3,,,,3,,,,
1900,7,29,6,59,,,SOLOMON ISLANDS: SANTA CRUZ ISLANDS,-10,165,33,7.6,,,,,,,,,,,
1900,8,11,4,40,,Tsu,SE. ALASKA,58.6,-137.5,,,,,,,,,,,,,
1900,9,10,21,30,,Tsu,BISMARCK SEA,-4,152,,6.8,,,,,,,1,,,,1
1900,9,17,21,45,,Tsu,RABAUL HARBOR,-5,148,,,,,,,,,,,,,
1900,9,18,,,,,COLOMBIA,4.6,-74,,7.9,,,,,,,,,,,
1900,10,7,21,4,,Tsu,INDONESIA: NW. IRIAN JAYA,-4,140,33,7.8,,,,,,,,,,,
1900,10,9,12,25,,,ALASKA: KODIAK ISLAND,57.09,-153.48,,8.3,8,,,,,,1,,,,
1900,10,29,9,11,,Tsu,VENEZUELA: MACUTO,11,-66,25,8.4,10,,3,,,,3,,,,
1900,12,25,5,9,,,RUSSIA: KURIL ISLANDS,43,146,40,7.9,9,,,,,,,,,,
1900,,,,,,Tsu,VENEZUELA: MAIQUETIA,10.6,-66.95,,,,,,,,,,,,,
1901,1,7,0,29,,,ECUADOR: ESMERALDAS,-2,-82,25,7.8,,,,,,,,,,,
1901,2,15,,,,,CHINA: YUNNAN PROVINCE,26,100.1,,6,8,,3,,,,3,,3,,
1901,3,3,7,45,,Tsu,CALIFORNIA: SAN DIEGO,36,-120.5,,6.4,8,,,,,,1,,,,
1901,3,31,7,11,,,BULGARIA: BALCHIK KAVARNA BLATNITSA LIMANU,43.4,28.7,,6.4,8,4,1,50,1,,3,1200,4,1200,4
1901,3,31,7,12,,Tsu,BULGARIA: BALCHIK,43.4,28.5,,7.2,10,4,1,50,1,,3,1200,4,,
1901,4,5,22,30,,,RUSSIA: KURIL ISLANDS,45,148,30,7.5,,,,,,,,,,,
1901,6,15,,,,Tsu,JAPAN: IWATE,39,143,33,,,,,,,,,,,,
1901,6,24,7,2,,Tsu,JAPAN: RYUKYU ISLANDS,27,130,60,7.9,,,,,,,,,,,
1901,8,9,9,23,30,Tsu,JAPAN: OFF NORTHEAST COAST HONSHU,40.5,142.5,33,7.9,,,,,,,2,,,,
1901,8,9,13,1,,Tsu,NEW CALEDONIA: LOYALTY ISLANDS,-22,170,60,8.4,,,,,,,1,,,,
1901,8,9,18,33,45,Tsu,JAPAN: OFF NORTHEAST COAST HONSHU,40.6,142.3,33,8.2,,18,1,,,,2,8,1,,
1901,8,9,20,0,,Tsu,JAPAN: OFF NORTHEAST COAST HONSHU,40.5,142.5,33,6.3,,,,,,,,,,,
1901,9,10,0,30,,Tsu,PHILIPPINES: LUZON: E TAYABAS CALAUAG BAY,14,121.6,,,7,,,,,,2,,,,2
1901,10,8,2,16,,Tsu,NICARAGUA,11,-86.5,,7,,,,,,,1,,,,
1901,11,8,10,18,,,TURKEY: HASANKALE HINS ERZURUM,40,41.5,,6.1,8,,,,,,3,,,,
1901,12,14,22,57,45,,PHILIPPINES: LUZON,14,122,33,7.8,7,,,,,,1,,,,
1901,12,18,3,51,,,TURKEY: AYVALIK MOSKO IS; GREECE: KHIOS,39.4,26.7,,5.9,8,,,,,,2,,,,
1901,12,31,9,2,30,Tsu,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,51.45,-171.02,,7.8,,,,,,,1,,,,
1902,1,1,5,20,,,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.4,-167.5,,7.8,,,,,,,,,,,
1902,1,16,,,,,MEXICO: GUERRERO,17.6,-99.7,,7,,2,1,,,,2,,,,
1902,1,18,23,23,,Tsu,GUATEMALA: SAN MARTIN QUEZALTENANGO,14.71,-91.59,,6.3,,,,,,,1,,1,,1
1902,1,24,23,27,,,PAPUA NEW GUINEA,-8,150,60,7.8,,,,,,,,,,,
1902,2,9,7,35,,,TONGA ISLANDS,-20,-174,60,7.8,,,,,,,,,,,
1902,2,13,9,39,30,,AZERBAIJAN: SEMACHA; N IRAN,40.7,48.6,15,6.9,9,86,2,60,2,,4,3496,4,3496,4
1902,2,26,,,,Tsu,EL SALVADOR-GUATEMALA,13.5,-89.5,,7,,,,,,,,,,,
1902,3,9,7,46,,,TURKEY: CANKIRI,40.7,33.6,,5.5,9,4,1,,,,3,,,,
1902,4,19,2,23,30,Tsu,GUATEMALA: QUEZALTENANGO SAN MARCOS,14,-91,33,7.5,,2000,4,,,,3,,,,
1902,4,29,6,57,,,CALIFORNIA: SOUTHERN,34.5,-120.5,,,7,,,,,,2,,,,
1902,6,9,,,,,IRAN: QESHM/BANDAR ABBAS,26.6,56.2,,,,10,1,,,,2,,,,
1902,6,11,5,,,,RUSSIA: SEA OF OKHOTSK,50,148,600,8,4,,,,,,,,,,
1902,7,5,14,56,30,Tsu,TURKEY: THESSALONIKI,40.75,23.25,,6.6,9,,,,,,,,,,
1902,7,9,3,38,,,IRAN: QESHM ISLAND: QESHM BANDAR ABBAS GENU,27.1,56.3,,,,,,,,,2,,,,
1902,8,21,11,17,,Tsu,PHILIPPINES: MINDANAO: LANAO COTABATO,7.5,123.5,,7.3,10,,3,,,,3,,3,,
1902,8,22,3,,,,CHINA: XINJIANG  TURKESTAN,39.88,76.2,30,7.7,10,2500,4,,,,4,,4,,4
1902,8,26,1,9,,,PHILIPPINES: ILOILO PANAY,10.8,122.6,,,9,,,,,,3,,,,
1902,8,,,,,,CHINA: YUNNAN PROVINCE,26.3,99.9,,5.5,7,6,1,,,,2,,3,,3
1902,9,22,1,46,30,,GUAM: AGANA,18,146,33,8.1,9,,,,1,,3,,,,
1902,9,23,20,18,30,,MEXICO: VENUSTIANO CARRANZA CHIAPAS CHIS TABASCO,16.6,-92.6,100,7.8,,,,,,,3,,,,
1902,12,12,23,10,,,MEXICO: BAJA CALIFORNIA,29,-114,60,7.8,,,,,,,,,,,
1902,12,16,5,7,,,UZBEKISTAN: ANDIZHAN,40.8,72.3,9,6.4,9,4880,4,,,,4,41704,4,41704,4
1903,1,4,5,7,,,TONGA ISLANDS,-20,-175,400,8,,,,,,,,,,,
1903,1,14,1,47,36,,MEXICO: OFF COAST OF GUERRERO,15,-98,33,7.7,,,,,,,,,,,
1903,2,1,9,34,,,MONGOLIA,48,98,60,7.8,,,,,,,,,,,
1903,2,10,2,28,,Tsu,GUAM,14,143.3,,,7,,,,,,1,,,,1
1903,2,27,0,43,18,,INDONESIA: S OF JAVA,-8,106,,8.1,,,,,,,,,,,
1903,3,29,22,30,,,ISRAEL: NABULUS,32.2,35.3,,5.7,,20,1,,,,,,,,
1903,3,30,,,,Tsu,INDONESIA: TIFU MASARETE KAJELI,-3,127.5,33,6.5,,,,,,,,,,,
1903,4,19,,,,,TURKEY,39.1,42.4,,,,1700,4,,,,3,,,,
1903,4,28,23,46,,,TURKEY: MALAZGIRT,39.1,42.5,,6.3,10,3560,4,,4,,4,12000,4,,
1903,5,13,6,34,6,,VANUATU ISLANDS,-17,168,60,7.9,,,,,,,,,,,
1903,5,13,,,,Tsu,ITALY: PALERMO,38.1,13.4,,,,,,,,,,,,,
1903,5,28,3,58,,,TURKEY: VARGINIS CARDAHLI MEHKEREK,40.9,42.7,,5.8,8,1000,3,,,,3,,,,
1903,6,2,13,17,,Tsu,ALASKA: SOUTHWEST,61.56,-158.54,,8.3,,,,,,,,,,,
1903,7,16,,,,Tsu,MEXICO: ACAPULCO,16.7,-99.2,,,,,,,,,,,,,
1903,7,28,4,,,,ITALY: N,44.3,10,,,12,,,,,,,,,,
1903,8,8,1,10,,,COLOMBIA,4.6,-74,,7.7,,,,,,,,,,,
1903,8,11,4,32,54,,GREECE: MITATA (KYTHERA),36,23,100,7.8,11,2,1,,,,3,,,,
1903,9,7,,,,Tsu,TAIWAN,,,,,,,,,,,,,,,
1903,9,25,1,20,,,IRAN: KASHMAR,35.2,58.2,,6.5,,350,3,,,,,,,,
1903,9,26,,,,Tsu,CHILE: IQUIQUE,-20.2,-70.15,,,,,,,,,,,,,
1903,12,7,14,25,,Tsu,CHILE: VALLENAR/ FREIRINA,-28.5,-71,,6.5,8,,1,,,,2,,2,,
1903,12,28,2,56,,,PHILIPPINES: DAVAO GULF,7,126,60,7.8,8,,,,,,2,,,,3
1904,1,20,14,52,6,Tsu,PANAMA-COLOMBIA,7,-79,60,7.9,,,,,,,,,,,
1904,3,18,13,42,,,JAPAN: HOKKAIDO,42.5,145.8,40,7.6,10,,,,,,1,,,,
